omega_keV,dPhi_dw_ma0keV_cm2_s_keV,dPhi_dw_ma10keV_cm2_s_keV,dPhi_dw_ma130keV_cm2_s_keV
0.0500,3.417595e+07,0.000000e+00,0.000000e+00
0.0900,1.420373e+08,0.000000e+00,0.000000e+00
0.1300,3.420730e+08,0.000000e+00,0.000000e+00
0.1699,6.437408e+08,0.000000e+00,0.000000e+00
0.2099,1.051850e+09,0.000000e+00,0.000000e+00
0.2499,1.568149e+09,0.000000e+00,0.000000e+00
0.2899,2.192216e+09,0.000000e+00,0.000000e+00
0.3299,2.922043e+09,0.000000e+00,0.000000e+00
0.3698,3.754429e+09,0.000000e+00,0.000000e+00
0.4098,4.685284e+09,0.000000e+00,0.000000e+00
0.4498,5.709845e+09,0.000000e+00,0.000000e+00
0.4898,6.822861e+09,0.000000e+00,0.000000e+00
0.5298,8.018721e+09,0.000000e+00,0.000000e+00
0.5697,9.291577e+09,0.000000e+00,0.000000e+00
0.6097,1.063543e+10,0.000000e+00,0.000000e+00
0.6497,1.204419e+10,0.000000e+00,0.000000e+00
0.6897,1.351178e+10,0.000000e+00,0.000000e+00
0.7297,1.503214e+10,0.000000e+00,0.000000e+00
0.7696,1.659928e+10,0.000000e+00,0.000000e+00
0.8096,1.820732e+10,0.000000e+00,0.000000e+00
0.8496,1.985054e+10,0.000000e+00,0.000000e+00
0.8896,2.152335e+10,0.000000e+00,0.000000e+00
0.9296,2.322036e+10,0.000000e+00,0.000000e+00
0.9695,2.493636e+10,0.000000e+00,0.000000e+00
1.0095,2.666634e+10,0.000000e+00,0.000000e+00
1.0495,2.840551e+10,0.000000e+00,0.000000e+00
1.0895,3.014928e+10,0.000000e+00,0.000000e+00
1.1295,3.189329e+10,0.000000e+00,0.000000e+00
1.1694,3.363341e+10,0.000000e+00,0.000000e+00
1.2094,3.536570e+10,0.000000e+00,0.000000e+00
1.2494,3.708648e+10,0.000000e+00,0.000000e+00
1.2894,3.879226e+10,0.000000e+00,0.000000e+00
1.3294,4.047978e+10,0.000000e+00,0.000000e+00
1.3693,4.214598e+10,0.000000e+00,0.000000e+00
1.4093,4.378802e+10,0.000000e+00,0.000000e+00
1.4493,4.540325e+10,0.000000e+00,0.000000e+00
1.4893,4.698923e+10,0.000000e+00,0.000000e+00
1.5293,4.854372e+10,0.000000e+00,0.000000e+00
1.5692,5.006463e+10,0.000000e+00,0.000000e+00
1.6092,5.155008e+10,0.000000e+00,0.000000e+00
1.6492,5.299835e+10,0.000000e+00,0.000000e+00
1.6892,5.440791e+10,0.000000e+00,0.000000e+00
1.7292,5.577736e+10,0.000000e+00,0.000000e+00
1.7691,5.710547e+10,0.000000e+00,0.000000e+00
1.8091,5.839115e+10,0.000000e+00,0.000000e+00
1.8491,5.963347e+10,0.000000e+00,0.000000e+00
1.8891,6.083160e+10,0.000000e+00,0.000000e+00
1.9291,6.198487e+10,0.000000e+00,0.000000e+00
1.9690,6.309272e+10,0.000000e+00,0.000000e+00
2.0090,6.415470e+10,0.000000e+00,0.000000e+00
2.0490,6.517048e+10,0.000000e+00,0.000000e+00
2.0890,6.613983e+10,0.000000e+00,0.000000e+00
2.1290,6.706262e+10,0.000000e+00,0.000000e+00
2.1689,6.793880e+10,0.000000e+00,0.000000e+00
2.2089,6.876843e+10,0.000000e+00,0.000000e+00
2.2489,6.955163e+10,0.000000e+00,0.000000e+00
2.2889,7.028860e+10,0.000000e+00,0.000000e+00
2.3289,7.097963e+10,0.000000e+00,0.000000e+00
2.3688,7.162505e+10,0.000000e+00,0.000000e+00
2.4088,7.222527e+10,0.000000e+00,0.000000e+00
2.4488,7.278076e+10,0.000000e+00,0.000000e+00
2.4888,7.329203e+10,0.000000e+00,0.000000e+00
2.5288,7.375965e+10,0.000000e+00,0.000000e+00
2.5687,7.418422e+10,0.000000e+00,0.000000e+00
2.6087,7.456640e+10,0.000000e+00,0.000000e+00
2.6487,7.490689e+10,0.000000e+00,0.000000e+00
2.6887,7.520640e+10,0.000000e+00,0.000000e+00
2.7287,7.546570e+10,0.000000e+00,0.000000e+00
2.7686,7.568556e+10,0.000000e+00,0.000000e+00
2.8086,7.586680e+10,0.000000e+00,0.000000e+00
2.8486,7.601025e+10,0.000000e+00,0.000000e+00
2.8886,7.611676e+10,0.000000e+00,0.000000e+00
2.9286,7.618720e+10,0.000000e+00,0.000000e+00
2.9685,7.622244e+10,0.000000e+00,0.000000e+00
3.0085,7.622339e+10,0.000000e+00,0.000000e+00
